,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
590,Corsair CMK16GX4M2B3333C16 8GB,27,18.4,14.2,$521.41*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3333C16+8GB&id=8786
591,Corsair CMK16GX4M2B3466C16 8GB,29,18.6,13.7,$189.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3466C16+8GB&id=8307
592,Corsair CMK16GX4M2B3600C18 8GB,29,17.6,13.3,$178.20*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3600C18+8GB&id=8496
593,Corsair CMK16GX4M2B3733C17 8GB,21,19.9,17.8,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3733C17+8GB&id=8986
596,Corsair CMK16GX4M2C3000C16 8GB,29,17.3,13.1,$200.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2C3000C16+8GB&id=11160
598,Corsair CMK16GX4M2C3333C16 8GB,23,21.3,17.6,$93.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2C3333C16+8GB&id=12938
602,Corsair CMK16GX4M2D3000C16 8GB,31,17.7,13.6,$100.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2D3000C16+8GB&id=11881
603,Corsair CMK16GX4M2D3200C16 8GB,29,17.8,14.2,$131.80*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2D3200C16+8GB&id=10868
605,Corsair CMK16GX4M2D3600C18 8GB,31,18.2,14.9,$105.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2D3600C18+8GB&id=13536
606,Corsair CMK16GX4M2E3200C16 8GB,33,19.6,14.2,$89.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2E3200C16+8GB&id=13467
