,Unnamed: 0,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread
10,28,AMD A10-6800K APU,"3,202",2060,67.37,$47.53,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800K+APU&id=1935,"21,333 MOps/Sec","5,615 MOps/Sec",12 Million Primes/Sec,"6,808 Thousand Strings/Sec",973.2 MBytes/Sec,"54,954 KBytes/Sec",279 Frames/Sec,"1,352 Million Matrices/Sec","1,607 MOps/Sec"
11,31,AMD A10-7700K APU,"3,204",2057,136.85,$23.41,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7700K+APU&id=2146,"18,672 MOps/Sec","5,261 MOps/Sec",12 Million Primes/Sec,"6,303 Thousand Strings/Sec",896.0 MBytes/Sec,"53,981 KBytes/Sec",230 Frames/Sec,"1,962 Million Matrices/Sec","1,435 MOps/Sec"
12,32,AMD A10-7800 APU,"3,190",2063,60.60,$52.64,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7800+APU&id=2262,"19,103 MOps/Sec","5,399 MOps/Sec",11 Million Primes/Sec,"6,172 Thousand Strings/Sec",884.2 MBytes/Sec,"53,995 KBytes/Sec",208 Frames/Sec,"2,016 Million Matrices/Sec","1,459 MOps/Sec"
13,33,AMD A10-7850K APU,"3,421",1967,61.08,$56.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7850K+APU&id=2133,"19,827 MOps/Sec","5,539 MOps/Sec",13 Million Primes/Sec,"6,730 Thousand Strings/Sec",949.9 MBytes/Sec,"57,801 KBytes/Sec",254 Frames/Sec,"2,086 Million Matrices/Sec","1,511 MOps/Sec"
14,34,AMD A10-7860K,"3,276",2028,61.59,$53.19,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7860K&id=2722,"18,983 MOps/Sec","5,333 MOps/Sec",13 Million Primes/Sec,"6,400 Thousand Strings/Sec",907.2 MBytes/Sec,"54,990 KBytes/Sec",239 Frames/Sec,"2,005 Million Matrices/Sec","1,494 MOps/Sec"
15,35,AMD A10-7870K,"3,403",1974,6.58,$517.20,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7870K&id=2531,"19,500 MOps/Sec","5,512 MOps/Sec",13 Million Primes/Sec,"6,602 Thousand Strings/Sec",951.3 MBytes/Sec,"57,775 KBytes/Sec",243 Frames/Sec,"2,141 Million Matrices/Sec","1,489 MOps/Sec"
16,36,AMD A10-7890K,"3,510",1940,25.71,$136.49,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7890K&id=2744,"20,877 MOps/Sec","5,750 MOps/Sec",13 Million Primes/Sec,"6,847 Thousand Strings/Sec",963.3 MBytes/Sec,"60,354 KBytes/Sec",242 Frames/Sec,"2,246 Million Matrices/Sec","1,551 MOps/Sec"
17,43,AMD A10-9700,"3,533",1934,40.13,$88.05,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-9700&id=2900,"19,429 MOps/Sec","5,930 MOps/Sec",11 Million Primes/Sec,"6,311 Thousand Strings/Sec","1,106 MBytes/Sec","60,176 KBytes/Sec",237 Frames/Sec,"2,093 Million Matrices/Sec","1,608 MOps/Sec"
18,44,AMD A10-9700E,"3,171",2071,35.60,$89.09,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-9700E&id=3133,"16,930 MOps/Sec","5,122 MOps/Sec",11 Million Primes/Sec,"5,665 Thousand Strings/Sec","1,014.0 MBytes/Sec","54,192 KBytes/Sec",242 Frames/Sec,"1,863 Million Matrices/Sec","1,449 MOps/Sec"
19,48,AMD A12-9800,"3,529",1936,40.25,$87.67,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A12-9800&id=2861,"19,506 MOps/Sec","6,040 MOps/Sec",11 Million Primes/Sec,"6,213 Thousand Strings/Sec","1,105 MBytes/Sec","58,870 KBytes/Sec",235 Frames/Sec,"2,083 Million Matrices/Sec","1,648 MOps/Sec"
20,49,AMD A12-9800E,"3,445",1960,5.14,$670.15*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A12-9800E&id=3083,"19,138 MOps/Sec","5,751 MOps/Sec",11 Million Primes/Sec,"6,265 Thousand Strings/Sec","1,082 MBytes/Sec","58,212 KBytes/Sec",240 Frames/Sec,"1,971 Million Matrices/Sec","1,603 MOps/Sec"
21,56,AMD A4-3300 APU,967,3434,17.07,$56.61,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3300+APU&id=13,"2,799 MOps/Sec","2,270 MOps/Sec",4 Million Primes/Sec,"2,685 Thousand Strings/Sec",242.8 MBytes/Sec,"21,064 KBytes/Sec",101 Frames/Sec,497 Million Matrices/Sec,"1,014 MOps/Sec"
22,57,AMD A4-3300M APU,711,3703,23.71,$29.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3300M+APU&id=14,"1,992 MOps/Sec","1,595 MOps/Sec",4 Million Primes/Sec,"2,042 Thousand Strings/Sec",186.1 MBytes/Sec,"16,242 KBytes/Sec",92 Frames/Sec,350 Million Matrices/Sec,789 MOps/Sec
23,58,AMD A4-3305M APU,729,3686,35.04,$20.81*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3305M+APU&id=15,"1,783 MOps/Sec","1,677 MOps/Sec",4 Million Primes/Sec,"2,082 Thousand Strings/Sec",187.6 MBytes/Sec,"16,852 KBytes/Sec",86 Frames/Sec,361 Million Matrices/Sec,822 MOps/Sec
24,60,AMD A4-3320M APU,668,3764,17.12,$39.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3320M+APU&id=17,"1,553 MOps/Sec","1,477 MOps/Sec",3 Million Primes/Sec,"1,705 Thousand Strings/Sec",163.8 MBytes/Sec,"12,970 KBytes/Sec",80 Frames/Sec,282 Million Matrices/Sec,708 MOps/Sec
