,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
2135,Kingston 99U54033067.A00LF 4GB,57,7.6,4.0,NA
2136,Kingston 99U5417-021.A00G 4GB,42,12.1,8.2,NA
2137,Kingston 99U5417-027.A00G 4GB,26,13.2,8.0,NA
2138,Kingston 99U5428-017.A00LF 8GB,28,12.1,8.6,NA
2139,Kingston 99U5428-018.A00LF 8GB,48,13.0,9.0,NA
2140,Kingston 99U5428-020.A00LF 8GB,30,10.6,7.3,NA
2141,Kingston 99U5428-040.A00LF 4GB,25,12.8,8.6,NA
2142,Kingston 99U5428-040.A01G 4GB,25,12.2,7.1,NA
2143,Kingston 99U5428-040.A01LF 4GB,28,11.2,7.8,NA
2144,Kingston 99U5428-042.A00G 4GB,38,10.9,8.3,NA
2145,Kingston 99U5428-043.A00G 4GB,42,7.5,6.0,NA
2146,Kingston 99U5428-046.A00LF 4GB,44,11.0,7.9,NA
2147,Kingston 99U5428-047.A00LF 4GB,31,10.4,6.8,NA
2148,Kingston 99U5428-048.A00LF 4GB,28,10.9,8.1,NA
2149,Kingston 99U5428-049.A00G 4GB,26,10.8,5.2,NA
2150,Kingston 99U5428-049.A00LF 4GB,26,13.9,9.4,NA
2151,Kingston 99U5428-052.A00G 8GB,31,9.1,7.5,NA
2152,Kingston 99U5428-052.A00LF 8GB,29,8.2,4.5,NA
2153,Kingston 99U5428-053.A00LF 8GB,43,12.9,9.2,NA
2154,Kingston 99U5428-055.A00G 4GB,28,12.3,8.4,NA
2155,Kingston 99U5428-059.A00LF 8GB,44,11.1,7.4,NA
2156,Kingston 99U5428-063.A00G 8GB,40,10.2,7.7,NA
2157,Kingston 99U5428-063.A00LF 8GB,42,14.8,9.6,NA
2158,Kingston 99U5428-065.A00G 8GB,32,12.5,8.0,NA
2159,Kingston 99U5428-065.A00LF 8GB,42,10.7,7.8,NA
2160,Kingston 99U5428-068.A00LF 8GB,29,12.0,8.3,NA
2161,Kingston 99U5428-069.A00LF 8GB,29,11.9,8.3,NA
2162,Kingston 99U5428-072.A00G 8GB,40,12.8,9.0,NA
2163,Kingston 99U5428-073.A00G 8GB,31,11.1,8.0,NA
2164,Kingston 99U5428-073.A00LF 8GB,29,11.1,7.3,NA
2165,Kingston 99U5428-078.A00LF 8GB,43,12.7,8.9,NA
2166,Kingston 99U5428-079.A00LF 8GB,30,10.5,7.6,NA
2167,Kingston 99U5428-082.A00LF 8GB,29,10.3,5.3,NA
2168,Kingston 99U5428-083.A00LF 8GB,29,12.9,8.8,NA
2169,Kingston 99U5428-100.A00LF 8GB,41,11.3,7.3,NA
2170,Kingston 99U5428-101.A00LF 8GB,80,5.9,3.4,NA
2171,Kingston 99U5429-014.A00LF 4GB,72,4.9,2.9,NA
2172,Kingston 99U5458-001.A00LF 2GB,25,13.9,9.3,NA
2173,Kingston 99U5458-002.A00LF 2GB,37,13.5,8.5,NA
2174,Kingston 99U5458-005.A00LF 4GB,25,13.2,7.9,NA
2175,Kingston 99U5458-005.A01LF 4GB,38,13.4,8.3,NA
2176,Kingston 99U5458-008.A00LF 4GB,27,13.3,9.1,NA
2177,Kingston 99U5458-009.A00LF 8GB,28,13.0,8.6,NA
2178,Kingston 99U5458-010.A00LF 8GB,28,8.8,4.5,NA
2179,Kingston 99U5458-035.A00LF 8GB,32,10.9,7.4,NA
2180,Kingston 99U5458-036.A00LF 8GB,31,11.3,8.7,NA
2181,Kingston 99U5469-016.A00LF 2GB,26,7.8,4.1,NA
2182,Kingston 99U5469-028.A00LF 4GB,28,11.2,7.6,NA
2183,Kingston 99U5469-029.A00LF 4GB,29,11.2,8.1,NA
2184,Kingston 99U5469-030.A00LF 4GB,31,9.5,6.8,NA
2185,Kingston 99U5469-035.A00LF 4GB,30,8.2,7.0,NA
2186,Kingston 99U5469-037.A00LF 4GB,28,12.1,6.8,NA
2187,Kingston 99U5469-041.A00LF 4GB,28,10.7,7.2,NA
2188,Kingston 99U5469-042.A00LF 4GB,28,11.0,6.3,NA
2189,Kingston 99U5469-044.A00LF 4GB,26,13.2,8.8,NA
2190,Kingston 99U5469-045.A00LF 4GB,28,12.7,8.1,NA
2191,Kingston 99U5469-046.A00LF 4GB,42,11.6,7.0,NA
2192,Kingston 99U5469-048.A00LF 4GB,27,11.7,7.5,NA
2193,Kingston 99U5469-051.A00LF 4GB,29,12.6,8.2,NA
2194,Kingston 99U5469-052.A00LF 4GB,26,14.6,8.7,NA
2195,Kingston 99U5469-053.A00LF 4GB,27,11.7,7.4,NA
2196,Kingston 99U5471-001.A00LF 2GB,26,13.0,8.6,NA
2197,Kingston 99U5471-001.A01LF 2GB,25,11.7,7.8,NA
2198,Kingston 99U5471-002.A00LF 2GB,35,11.8,8.5,NA
2199,Kingston 99U5471-002.A01LF 2GB,26,12.8,8.5,NA
2200,Kingston 99U5471-003.A00LF 2GB,28,13.3,7.2,NA
