,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien,Database Operations,Memory Read Cached,Memory Read Uncached,Memory Write,Latency,Memory Threaded
18,Corsair CMD16GX4M4A2666C16 4GB,37,14.6,11.5,$399.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4A2666C16+4GB&id=6538,"4,412 KOps/Sec","27,853 MBytes/Sec","15,201 MBytes/Sec","11,768 MBytes/Sec",39 ns (lower is better),"36,645 MBytes/Sec"
19,Corsair CMD16GX4M4A2800C16 4GB,35,15.1,11.3,$253.19*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4A2800C16+4GB&id=6300,"4,702 KOps/Sec","26,294 MBytes/Sec","15,885 MBytes/Sec","12,192 MBytes/Sec",38 ns (lower is better),"46,173 MBytes/Sec"
20,Corsair CMD16GX4M4B2133C10 4GB,24,15.8,11.7,$204.67*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B2133C10+4GB&id=7496,"4,245 KOps/Sec","25,629 MBytes/Sec","14,736 MBytes/Sec","11,325 MBytes/Sec",31 ns (lower is better),"47,331 MBytes/Sec"
21,Corsair CMD16GX4M4B2400C10 4GB,25,13.7,10.2,$145.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B2400C10+4GB&id=9212,"4,065 KOps/Sec","25,153 MBytes/Sec","13,539 MBytes/Sec","9,683 MBytes/Sec",33 ns (lower is better),"43,658 MBytes/Sec"
22,Corsair CMD16GX4M4B3000C14 4GB,25,15.8,13.1,$452.44*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3000C14+4GB&id=8100,NA,"22,403 MBytes/Sec","15,815 MBytes/Sec","13,069 MBytes/Sec",25 ns (lower is better),NA
23,Corsair CMD16GX4M4B3000C15 4GB,32,16.4,12.9,$445.07*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3000C15+4GB&id=6382,"5,248 KOps/Sec","29,801 MBytes/Sec","16,644 MBytes/Sec","12,894 MBytes/Sec",33 ns (lower is better),"40,409 MBytes/Sec"
24,Corsair CMD16GX4M4B3200C14 4GB,28,13.0,9.2,$199.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3200C14+4GB&id=9773,"5,204 KOps/Sec","30,619 MBytes/Sec","17,812 MBytes/Sec","13,297 MBytes/Sec",38 ns (lower is better),"42,402 MBytes/Sec"
25,Corsair CMD16GX4M4B3200C15 4GB,22,17.7,14.1,$297.49*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3200C15+4GB&id=7591,NA,"24,827 MBytes/Sec","17,744 MBytes/Sec","14,063 MBytes/Sec",22 ns (lower is better),NA
26,Corsair CMD16GX4M4B3200C16 4GB,34,15.7,11.5,$259.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3200C16+4GB&id=6477,"6,031 KOps/Sec","27,961 MBytes/Sec","15,660 MBytes/Sec","11,483 MBytes/Sec",34 ns (lower is better),"58,772 MBytes/Sec"
27,Corsair CMD16GX4M4B3300C16 4GB,23,16.5,13.1,$270.78*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3300C16+4GB&id=7404,NA,"23,418 MBytes/Sec","16,547 MBytes/Sec","13,062 MBytes/Sec",23 ns (lower is better),NA
28,Corsair CMD16GX4M4B3400C16 4GB,25,18.8,16.3,$249.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3400C16+4GB&id=8231,"5,420 KOps/Sec","31,430 MBytes/Sec","18,837 MBytes/Sec","15,550 MBytes/Sec",31 ns (lower is better),"36,982 MBytes/Sec"
29,Corsair CMD16GX4M4B3600C18 4GB,30,16.6,12.3,$583.80*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4B3600C18+4GB&id=9100,"5,240 KOps/Sec","29,163 MBytes/Sec","14,718 MBytes/Sec","11,660 MBytes/Sec",38 ns (lower is better),"50,221 MBytes/Sec"
30,Corsair CMD16GX4M4C3200C15 4GB,25,14.3,12.0,$194.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD16GX4M4C3200C15+4GB&id=8424,NA,"20,492 MBytes/Sec","14,275 MBytes/Sec","11,971 MBytes/Sec",25 ns (lower is better),NA
